MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
Essex Co,Santos,Nelson,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Essex Co,Queen,Gord,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Essex Co,Bain,Tom,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Essex Co,Bailey,Tracey,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Essex Co,Bondy,Marc,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Essex Co,Meloche,Crystal,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Essex Co,MacDonald,Hilda,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Essex Co,Verbeke,Larry,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Essex Co,McNamara,Gary,WARDEN,,,,YES,NO
Essex Co,Bachetti,Joe,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Essex T,Snively,Larry,MAYOR,"2,261","6,885",ELECTED,YES,NO
Essex T,Meloche,Richard,DEPUTY MAYOR,"4,012","6,749",ELECTED,YES,NO
Essex T,Bowman,Morley,LOCAL COUNCILLOR,"1,062","4,098",ELECTED,NO,NO
Essex T,Garon,Joe,LOCAL COUNCILLOR,"1,570","4,098",ELECTED,NO,NO
Essex T,Verbeek,Kim,LOCAL COUNCILLOR,803,"1,373",ELECTED,NO,NO
Essex T,Bjorkman,Steve,LOCAL COUNCILLOR,898,"2,773",ELECTED,YES,NO
Essex T,Vander Doelen,Chris,LOCAL COUNCILLOR,"1,032","2,773",ELECTED,NO,NO
Essex T,Bondy,Sherry,LOCAL COUNCILLOR,843,"1,081",ELECTED,YES,NO
Evanturel Tp,Mundle,Derek,REEVE, -   , -   ,ACCLAIMED,YES,NO
Evanturel Tp,Beachey,Barbara,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Evanturel Tp,Fricker,William (Mike),LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Evanturel Tp,MacPherson,Robert (Robbie),LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Faraday Tp,PURCELL,DENNIS,REEVE, -   , -   ,ACCLAIMED,YES,NO
Faraday Tp,NICHOLSON,MARG,DEPUTY REEVE, -   , -   ,ACCLAIMED,YES,NO
Faraday Tp,GREEN,BILL,LOCAL COUNCILLOR,463,760,ELECTED,NO,NO
Faraday Tp,TINNEY,CARL,LOCAL COUNCILLOR,423,760,ELECTED,YES,NO
Faraday Tp,BOWERS,MURRAY,LOCAL COUNCILLOR,349,760,ELECTED,NO,YES
Fauquier-Strickland Tp,Tremblay,Madeleine,MAYOR,197,262,ELECTED,YES,NO
Fauquier-Strickland Tp,Brunet,Roger,LOCAL COUNCILLOR,140,262,ELECTED,YES,NO
Fauquier-Strickland Tp,Demers,Jacques,LOCAL COUNCILLOR,133,262,ELECTED,NO,NO
Fauquier-Strickland Tp,Marcoux,Jean-Guy,LOCAL COUNCILLOR,185,262,ELECTED,NO,NO
Fauquier-Strickland Tp,Marcoux,Priscilla,LOCAL COUNCILLOR,178,262,ELECTED,NO,NO
Fort Erie T,Redekop,Wayne H.,MAYOR,"5,370","9,584",ELECTED,YES,NO
Fort Erie T,McDermott,George P.,LOCAL COUNCILLOR,764,"1,208",ELECTED,YES,NO
Fort Erie T,Dubanow,Nick,LOCAL COUNCILLOR,838,"1,585",ELECTED,NO,NO
Fort Erie T,Zanko,Kimberly,LOCAL COUNCILLOR,811,"1,793",ELECTED,YES,NO
Fort Erie T,Butler,Marina,LOCAL COUNCILLOR,673,"1,545",ELECTED,YES,NO
Fort Erie T,Lubberts,Don,LOCAL COUNCILLOR,599,"1,710",ELECTED,YES,NO
Fort Erie T,Noyes,Ann-Marie,LOCAL COUNCILLOR,902,"1,581",ELECTED,NO,NO
Fort Erie T,Insinna,Tom,REGIONAL COUNCILLOR,"3,783","9,301",ELECTED,YES,NO
Fort Frances T,Caul,June,MAYOR,"1,808","2,689",ELECTED,YES,NO
Fort Frances T,Behan,Michael,LOCAL COUNCILLOR,"1,701","12,989",ELECTED,NO,NO
Fort Frances T,Brunetta,Wendy,LOCAL COUNCILLOR,"2,155","12,989",ELECTED,YES,NO
Fort Frances T,Hallikas,Andrew,LOCAL COUNCILLOR,"1,617","12,989",ELECTED,NO,NO
Fort Frances T,Judson,Douglas W.,LOCAL COUNCILLOR,"1,655","12,989",ELECTED,NO,NO
Fort Frances T,McTaggart,John D.,LOCAL COUNCILLOR,"1,986","12,989",ELECTED,NO,NO
Fort Frances T,Wiedenhoeft,Rick,LOCAL COUNCILLOR,"1,562","12,989",ELECTED,NO,NO
French River M,Pageau,Gisèle,Mayor,"1,232","2,122",ELECTED,YES,NO
French River M,Garbutt,Ronald,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
French River M,Malette,Richard,LOCAL COUNCILLOR,251,445,ELECTED,NO,NO
French River M,Hazlett,Randy,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
French River M,Wenborne,Dean,LOCAL COUNCILLOR,129,202,ELECTED,YES,NO
French River M,Viau,David,LOCAL COUNCILLOR,205,270,ELECTED,NO,NO
French River M,Carrier,Renée,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Front of Yonge Tp,HALEY,ROGER,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Front of Yonge Tp,FANCY,MARGARET,LOCAL COUNCILLOR,544,"2,141",ELECTED,NO,NO
Front of Yonge Tp,MARCOUX,RICHARD,LOCAL COUNCILLOR,390,"2,141",ELECTED,YES,NO
Front of Yonge Tp,MASSEY,CARSON,LOCAL COUNCILLOR,482,"2,141",ELECTED,YES,NO
Front of Yonge Tp,WILLIAMS,GAIL,LOCAL COUNCILLOR,401,"2,141",ELECTED,YES,NO
Frontenac Co,Higgins,Ron,WARDEN,,,,YES,NO
Frontenac Co,Doyle,Denis,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Frontenac Co,Vandewal,Ron,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Frontenac Co,Smith,Frances,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Frontenac Co,MacDonald,Bill,COUNCILLOR,,,,NO,NO
Frontenac Co,Martin,Gerry,COUNCILLOR,,,,NO,NO
Frontenac Co,Revill,Alan,COUNCILLOR,,,,NO,NO
Frontenac Co,Higgs,Bruce,COUNCILLOR,,,,NO,NO
Frontenac Islands Tp,Doyle,Denis,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Frontenac Islands Tp,Higgs,Bruce,LOCAL COUNCILLOR,303,747,ELECTED,YES,NO
Frontenac Islands Tp,MacDougall,Noreen,LOCAL COUNCILLOR,155,747,ELECTED,NO,NO
Frontenac Islands Tp,Springgay,Barbara,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Frontenac Islands Tp,Zborovsky,Jarda,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Gananoque ST,LOJKO,Ted,MAYOR,862,"2,145",ELECTED,NO,NO
Gananoque ST,HARPER,Matt,LOCAL COUNCILLOR,"1,069","10,325",ELECTED,NO,NO
Gananoque ST,OSMOND,David,LOCAL COUNCILLOR,"1,069","10,325",ELECTED,NO,NO
Gananoque ST,ANDERSON,Dave,LOCAL COUNCILLOR,"1,056","10,325",ELECTED,NO,NO
Gananoque ST,O'CONNOR,Dennis,LOCAL COUNCILLOR,"1,045","10,325",ELECTED,NO,NO
Gananoque ST,KENCH,Mike,LOCAL COUNCILLOR,"1,009","10,325",ELECTED,NO,NO
Gananoque ST,HAIRD,Adrian,LOCAL COUNCILLOR,896,"10,325",ELECTED,NO,NO
Gauthier Tp,Savarie,Marie,REEVE, -   , -   ,ACCLAIMED,YES,NO
Gauthier Tp,Binnendyk,Paul,LOCAL COUNCILLOR,46,57,ELECTED,YES,NO
Gauthier Tp,Bowers,Kelly,LOCAL COUNCILLOR,33,57,ELECTED,YES,NO
Gauthier Tp,Johnson,William K.,LOCAL COUNCILLOR,36,57,ELECTED,YES,NO
Gauthier Tp,Quinn,Matthew,LOCAL COUNCILLOR,48,57,ELECTED,YES,NO
Georgian Bay Tp,KOETSIER,PETER,MAYOR,"2,268","3,576",ELECTED,NO,NO
Georgian Bay Tp,DOUGLAS,CYNTHIA,LOCAL COUNCILLOR,638,873,ELECTED,YES,NO
Georgian Bay Tp,BOCHEK,BRIAN,LOCAL COUNCILLOR,747,"1,211",ELECTED,YES,NO
Georgian Bay Tp,HAZELTON,ALLAN,LOCAL COUNCILLOR,451,810,ELECTED,NO,NO
Georgian Bay Tp,JARVIS,STEPHEN,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Georgian Bay Tp,WIANCKO,PAUL,LOCAL AND DISTRICT COUNCILLOR,"1,189",877,ELECTED,YES,NO
Georgian Bay Tp,COOPER,PETER,LOCAL AND DISTRICT COUNCILLOR,"1,010",449,ELECTED,YES,NO
Georgian Bluffs Tp,Burley,Dwight,MAYOR,"2,005","3,627",ELECTED,YES,NO
Georgian Bluffs Tp,Carleton,Sue,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
Georgian Bluffs Tp,Barfoot,Carol,LOCAL COUNCILLOR,"1,940","14,941",ELECTED,YES,NO
Georgian Bluffs Tp,Thompson,Ryan,LOCAL COUNCILLOR,"2,431","14,941",ELECTED,YES,NO
Georgian Bluffs Tp,Sutherland,Paul,LOCAL COUNCILLOR,"1,739","14,941",ELECTED,YES,NO
Georgian Bluffs Tp,Pringle,Grant,LOCAL COUNCILLOR,"1,680","14,941",ELECTED,NO,NO
Georgian Bluffs Tp,Moore Coburn,Cathy,LOCAL COUNCILLOR,"1,599","14,941",ELECTED,NO,NO
Georgina T,Quirk,Margaret,MAYOR,"2,353","8,844",ELECTED,YES,NO
Georgina T,Grossi,Robert,REGIONAL COUNCILLOR,"4,175","8,915",ELECTED,NO,NO
Georgina T,Waddington,Mike,LOCAL COUNCILLOR,991,"1,709",ELECTED,NO,NO
Georgina T,Fellini,Dan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Georgina T,Neeson,Dave,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Georgina T,Sebo,Frank,LOCAL COUNCILLOR,944,"2,103",ELECTED,YES,NO
Georgina T,Harding,David,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Gillies Tp,Wright,Wendy,REEVE, -   , -   ,ACCLAIMED,YES,NO
Gillies Tp,Buitenhuis,Rudy,LOCAL COUNCILLOR,112,565,ELECTED,YES,NO
Gillies Tp,Groenheide,William,LOCAL COUNCILLOR,92,565,ELECTED,YES,NO
Gillies Tp,Jones,Elizabeth,LOCAL COUNCILLOR,89,565,ELECTED,NO,NO
Gillies Tp,O'Gorman,Karen,LOCAL COUNCILLOR,116,565,ELECTED,YES,NO
Goderich T,Grace,John,MAYOR,"1,940","3,901",ELECTED,NO,NO
Goderich T,Murdock,Myles,DEPUTY MAYOR,"1,474","3,901",ELECTED,YES,NO
Goderich T,Hoy,Matthew,LOCAL COUNCILLOR,"2,989","3,901",ELECTED,YES,NO
Goderich T,Bazinet,Trevor,LOCAL COUNCILLOR,"2,970","3,901",ELECTED,YES,NO
Goderich T,Donnelly,James,LOCAL COUNCILLOR,"2,703","3,901",ELECTED,YES,NO
Goderich T,Tamming,Stephen,LOCAL COUNCILLOR,"2,200","3,901",ELECTED,NO,NO
Goderich T,Thomson,Shawn,LOCAL COUNCILLOR,"1,373","3,901",ELECTED,NO,NO
Gordon-Barrie Island M,Hayden,Lee,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Gordon-Barrie Island M,Bould,Jack,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Gordon-Barrie Island M,Brady,John,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Gordon-Barrie Island M,Hester,Maureen,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Gordon-Barrie Island M,Turner,John,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Gore Bay T,Osbourne,Dan,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Gore Bay T,Blodgett,Ken,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Gore Bay T,Woestenek,Ken,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Gore Bay T,Wright,Aaron,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Gore Bay T,Nodecker,Paulie,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Gore Bay T,Bailey,Patricia,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Gore Bay T,Woestenek,Leanne,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Grand Valley T,Soloman,Steve,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Grand Valley T,Rentsch,Philip,DEPUTY MAYOR,437,903,ELECTED,YES,NO
Grand Valley T,Pringle,Sam,LOCAL COUNCILLOR,537,"2,417",ELECTED,NO,NO
Grand Valley T,Taylor,Elizabeth,LOCAL COUNCILLOR,501,"2,417",ELECTED,YES,NO
Grand Valley T,Taylor,Rick,LOCAL COUNCILLOR,539,"2,417",ELECTED,YES,NO
Gravenhurst T,Kelly,Paul,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Gravenhurst T,Cairns,Sandy,DISTRICT COUNCILLOR,"2,791","10,317",ELECTED,YES,NO
Gravenhurst T,Gordon,John,DISTRICT COUNCILLOR,"2,382","10,317",ELECTED,NO,NO
Gravenhurst T,Lorenz,Heidi,DISTRICT COUNCILLOR,"2,809","10,317",ELECTED,YES,NO
Gravenhurst T,Varney,Penny,LOCAL COUNCILLOR,897,"1,266",ELECTED,NO,NO
Gravenhurst T,Morphy,Jo,LOCAL COUNCILLOR,373,668,ELECTED,NO,NO
Gravenhurst T,Pilger,Terry,LOCAL COUNCILLOR,636,387,ELECTED,NO,NO
Gravenhurst T,Klinck,Steven,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Gravenhurst T,Murray,Graeme,LOCAL COUNCILLOR,623,962,ELECTED,NO,NO
Greater Madawaska Tp,Hunt,Brian,Mayor,945,"1,892",ELECTED,YES,NO
Greater Madawaska Tp,Frost,John,LOCAL COUNCILLOR,209,292,ELECTED,NO,NO
Greater Madawaska Tp,MacPherson,Glen,LOCAL COUNCILLOR,244,408,ELECTED,YES,NO
Greater Madawaska Tp,Rigelof,Chuch,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Greater Madawaska Tp,Perrier,Lucie,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Greater Napanee T,ISBESTER,MARG,MAYOR,"2,325","6,094",ELECTED,YES,NO
Greater Napanee T,KAISER,MAX,DEPUTY MAYOR,"4,343","6,079",ELECTED,YES,NO
Greater Napanee T,McCORMACK,JOHN,LOCAL COUNCILLOR,843,"1,137",ELECTED,NO,NO
Greater Napanee T,RICHARDSON,TERRY WARREN,LOCAL COUNCILLOR,691,"1,276",ELECTED,NO,NO
Greater Napanee T,PINNELL JR.,DAVE,LOCAL COUNCILLOR,432,"1,486",ELECTED,NO,NO
Greater Napanee T,NORRIE,ROBERT,LOCAL COUNCILLOR,374,"1,159",ELECTED,NO,NO
Greater Napanee T,JOHNSON,ELLEN,LOCAL COUNCILLOR,334,"1,007",ELECTED,NO,NO
Greater Sudbury C,Bigger,Brian,Mayor,"14,684","51,852",ELECTED,YES,NO
Greater Sudbury C,Signoretti,Mark,LOCAL COUNCILLOR,"2,291","4,298",ELECTED,YES,NO
Greater Sudbury C,Vagnini,Michael,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Greater Sudbury C,Montpellier,Germain (Gerry),LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Greater Sudbury C,McCausland,Geoff,LOCAL COUNCILLOR,"1,503","3,937",ELECTED,NO,NO
Greater Sudbury C,Kirwan,Robert,LOCAL COUNCILLOR,"1,807","3,600",ELECTED,YES,NO
Greater Sudbury C,Lapierre,Rene,LOCAL COUNCILLOR,"1,649","4,483",ELECTED,YES,NO
Greater Sudbury C,Jakubo,Mike,LOCAL COUNCILLOR,"2,347","4,518",ELECTED,YES,NO
Greater Sudbury C,Sizer,Al,LOCAL COUNCILLOR,"1,822","3,979",ELECTED,YES,NO
Greater Sudbury C,McIntosh,Deb,LOCAL COUNCILLOR,"3,170","5,125",ELECTED,YES,NO
Greater Sudbury C,Cormier,Fern,LOCAL COUNCILLOR,"3,611","4,852",ELECTED,YES,NO
Greater Sudbury C,Leduc,Bill,LOCAL COUNCILLOR,"2,317","4,767",ELECTED,NO,NO
Greater Sudbury C,Landry-Altmann,Joscelyne,LOCAL COUNCILLOR,"2,237","3,578",ELECTED,YES,NO
Greenstone M,Beaulieu,Renald Y.,MAYOR,"1,306","1,854",ELECTED,YES,NO
Greenstone M,Blanchard,Andre A.,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Greenstone M,Assad,William (Bill),LOCAL COUNCILLOR,618,"1,507",ELECTED,YES,NO
Greenstone M,Marino,John J.,LOCAL COUNCILLOR,703,"1,513",ELECTED,NO,NO
Greenstone M,Mannisto,Elaine,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Greenstone M,McPherson,James,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Greenstone M,Trottier,Claudette,LOCAL COUNCILLOR,96,135,ELECTED,YES,NO
Greenstone M,Abraham,Claudette,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Greenstone M,McCraw,Gloria,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Grey Co,Soever,Alar,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Mackey,Scott,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Grey Co,Burley,Dwight,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Grey Co,McQueen,Paul,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Grey Co,Paterson,Sue,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Clumpus,Barb,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Grey Co,Boddy,Ian,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Grey Co,Woodbury,John,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Robinson,Christine,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Bartnicki,Odette,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Gamble,Brian,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Carleton,Sue,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Desai,Aakash,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Hicks,Selwyn,WARDEN,,,,YES,NO
Grey Co,Keaveney,Shirley,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,O'Leary,Brian,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Milne,Brian,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Co,Hutchinson,Tom,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Grey Highlands M,McQueen,Paul,MAYOR,"2,130","3,619",ELECTED,YES,NO
Grey Highlands M,Desai,Aakash,DEPUTY MAYOR,"1,831","3,572",ELECTED,YES,NO
Grey Highlands M,Allen,Paul,LOCAL COUNCILLOR,"2,584","16,072",ELECTED,NO,NO
Grey Highlands M,Allwood,Tom,LOCAL COUNCILLOR,"2,037","16,072",ELECTED,NO,NO
Grey Highlands M,Nielsen,Dane,LOCAL COUNCILLOR,"1,868","16,072",ELECTED,NO,YES
Grey Highlands M,Little,Catherine,LOCAL COUNCILLOR,"2,478","16,072",ELECTED,YES,NO
Grimsby T,Jordan,Jeff,MAYOR,"6,344","8,871",ELECTED,NO,NO
Grimsby T,ritchie,kevin,LOCAL COUNCILLOR,"1,023","4,231",ELECTED,NO,NO
Grimsby T,freake,reg,LOCAL COUNCILLOR,969,"4,231",ELECTED,no,no
Grimsby T,kadwell,dave,LOCAL COUNCILLOR,"1,692","4,480",ELECTED,yes,no
Grimsby T,vardy,lianne,LOCAL COUNCILLOR,958,"4,480",ELECTED,no,no
Grimsby T,vaine,randy,LOCAL COUNCILLOR,"1,027","3,595",ELECTED,NO,no
Grimsby T,dunstall,john,LOCAL COUNCILLOR,852,"3,595",ELECTED,yes,no
Grimsby T,sharpe,dave,LOCAL COUNCILLOR,"1,485","4,047",ELECTED,no,no
Grimsby T,wayne,fertich,LOCAL AND REGIONAL COUNCILLOR,"5,060","8,626",ELECTED,no,no
Guelph C,Guthrie,Cam,MAYOR,"22,203","33,352",ELECTED,YES,NO
Guelph C,Gibson,Dan,LOCAL COUNCILLOR,"3,033","11,157",ELECTED,YES,NO
Guelph C,Bell,Bob,LOCAL COUNCILLOR,"2,361","11,157",ELECTED,YES,NO
Guelph C,Gordon,James,LOCAL COUNCILLOR,"3,009","9,835",ELECTED,YES,NO
Guelph C,Goller,Rodrigo,LOCAL COUNCILLOR,"2,728","9,835",ELECTED,NO,NO
Guelph C,Allt,Phil,LOCAL COUNCILLOR,"3,187","8,675",ELECTED,YES,NO
Guelph C,Hofland,June,LOCAL COUNCILLOR,"2,764","8,675",ELECTED,YES,NO
Guelph C,Billings,Christine,LOCAL COUNCILLOR,"2,330","8,751",ELECTED,YES,NO
Guelph C,Salisbury,Mike,LOCAL COUNCILLOR,"1,702","8,751",ELECTED,YES,NO
Guelph C,Piper,Leanne,LOCAL COUNCILLOR,"3,719","9,006",ELECTED,YES,NO
Guelph C,Downer,Cathy,LOCAL COUNCILLOR,"3,525","9,006",ELECTED,YES,NO
Guelph C,O'Rourke,Dominique,LOCAL COUNCILLOR,"4,133","11,303",ELECTED,NO,NO
Guelph C,MacKinnon,Mark,LOCAL COUNCILLOR,"3,137","11,303",ELECTED,YES,NO
Guelph-Eramosa Tp,White,Chris,MAYOR,"2,893","4,032",ELECTED,YES,NO
Guelph-Eramosa Tp,Dickieson,Bruce,LOCAL COUNCILLOR,605,767,ELECTED,NO,NO
Guelph-Eramosa Tp,Woods,Corey,LOCAL COUNCILLOR,390,681,ELECTED,YES,NO
Guelph-Eramosa Tp,Marshall,Louise,LOCAL COUNCILLOR,711,"1,267",ELECTED,YES,NO
Guelph-Eramosa Tp,Bouwmeester,Mark,LOCAL COUNCILLOR,"1,068","1,294",ELECTED,YES,NO
Haldimand County,Hewitt,Ken,MAYOR,"6,578","13,089",ELECTED,YES,NO
Haldimand County,Patterson,Stewart,COUNTY COUNCILLOR,"1,100","1,998",ELECTED,NO,NO
Haldimand County,Metcalfe,John,COUNTY COUNCILLOR,988,"2,208",ELECTED,NO,NO
Haldimand County,Lawrence,Dan,COUNTY COUNCILLOR,"1,267","3,176",ELECTED,NO,NO
Haldimand County,Dalimonte,Tony,COUNTY COUNCILLOR,"1,470","2,169",ELECTED,YES,NO
Haldimand County,Shirton,Rob,COUNTY COUNCILLOR,855,"1,490",ELECTED,YES,NO
Haldimand County,Corbett,Bernie,COUNTY COUNCILLOR,"1,668","2,151",ELECTED,YES,NO
Haliburton Co,Roberts,Andrea,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Haliburton Co,Burton,Dave,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Haliburton Co,Kennedy,Patrick,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Haliburton Co,Devolin,Brent,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Haliburton Co,Moffatt,Carol,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Haliburton Co,Schell,Lisa,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Haliburton Co,Danielsen,Liz,WARDEN,,,,NO,NO
Haliburton Co,Ryall,Cecil,COUNCILLOR,,,,NO,NO
Halton Hills T,Bonnette,Rick,MAYOR,"10,108","12,580",ELECTED,YES,NO
Halton Hills T,Somerville,Clark,LOCAL AND REGIONAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Halton Hills T,Fogal,Jane,LOCAL AND REGIONAL COUNCILLOR,"4,840","7,804",ELECTED,YES,NO
Halton Hills T,Albano,Mike,LOCAL COUNCILLOR,"1,237","4,369",ELECTED,YES,NO
Halton Hills T,Hurst,Jon,LOCAL COUNCILLOR,"1,238","4,369",ELECTED,YES,NO
Halton Hills T,Brown,Ted,LOCAL COUNCILLOR,"1,399","3,423",ELECTED,YES,NO
Halton Hills T,Lewis,Bryan,LOCAL COUNCILLOR,"1,236","3,423",ELECTED,YES,NO
Halton Hills T,Farrow-Reed,Wendy,LOCAL COUNCILLOR,"2,014","6,418",ELECTED,NO,NO
Halton Hills T,Johnson,Moya,LOCAL COUNCILLOR,"1,580","5,418",ELECTED,YES,NO
Halton Hills T,Inglis,Bob,LOCAL COUNCILLOR,"1,922","7,823",ELECTED,YES,NO
Halton Hills T,Lawlor,Ann,LOCAL COUNCILLOR,"2,047","7,823",ELECTED,YES,NO
Halton R,Carr,Gary,REGIONAL CHAIR,"79,775","120,911",ELECTED,YES,NO
Hamilton C,Eisenberger,Fred,MAYOR,"74,093","137,137",ELECTED,YES,NO
Hamilton C,Wilson,Maureen,LOCAL COUNCILLOR,"3,664","8,827",ELECTED,NO,NO
Hamilton C,Farr,Jason,LOCAL COUNCILLOR,"3,162","6,748",ELECTED,YES,NO
Hamilton C,Nann,Nrinder,LOCAL COUNCILLOR,"2,618","7,708",ELECTED,NO,NO
Hamilton C,Merulla,Sam,LOCAL COUNCILLOR,"6,913","8,823",ELECTED,YES,NO
Hamilton C,Collins,Chad,LOCAL COUNCILLOR,"7,596","9,462",ELECTED,YES,NO
Hamilton C,Jackson,Tom,LOCAL COUNCILLOR,"8,247","10,026",ELECTED,YES,NO
Hamilton C,Pauls,Esther,LOCAL COUNCILLOR,"3,016","12,064",ELECTED,NO,NO
Hamilton C,Danko,John-Paul,LOCAL COUNCILLOR,"3,752","9,003",ELECTED,NO,NO
Hamilton C,Clark,Brad,LOCAL COUNCILLOR,"2,539","6,556",ELECTED,NO,NO
Hamilton C,Pearson,Maria,LOCAL COUNCILLOR,"3,988","10,974",ELECTED,YES,NO
Hamilton C,Johnson,Brenda,LOCAL COUNCILLOR,"6,129","5,291",ELECTED,YES,NO
Hamilton C,Ferguson,Lloyd,LOCAL COUNCILLOR,"7,000","12,006",ELECTED,YES,NO
Hamilton C,Vanderbeek,Arlene,LOCAL COUNCILLOR,"3,953","11,462",ELECTED,YES,NO
Hamilton C,Whitehead,Terry,LOCAL COUNCILLOR,"5,358","9,271",ELECTED,YES,NO
Hamilton C,Partridge,Judi,LOCAL COUNCILLOR,"4,371","6,726",ELECTED,YES,NO
Hamilton Tp,Cane,Bill,Mayor, -   , -   ,ACCLAIMED,YES,NO
Hamilton Tp,Jibb,Scott,Deputy Mayor, -   , -   ,ACCLAIMED,YES,NO
Hamilton Tp,McCourt,Pat,LOCAL COUNCILLOR,"1,417","2,512",ELECTED,YES,NO
Hamilton Tp,Lovshin,Mark,LOCAL COUNCILLOR,"1,402","2,512",ELECTED,YES,NO
